"st0" "st1" "yr0" "yr1" "lat" "lon" "annual_pp" "annual_mean_temp" "annual_min_temp" "annual_max_temp"
"7009700202" "R" "R" 1992 2003 -70.784126 47.654324 1347 -0.775 -5.77 4.215
"7009700301" "B" "B" 1992 2003 -70.683327 47.666025 1266.5 0.165 -4.89 5.225
"7009700302" "B" "B" 1992 2003 -70.677826 47.664666 1266.5 0.17 -4.885 5.225
"7009800101" "B" "B" 1992 2003 -71.432298 47.300362 1295.5 1.76 -3.395 6.92
"7009800102" "B" "B" 1992 2003 -71.426826 47.301487 1295 1.76 -3.395 6.92
"7009800201" "B" "B" 1992 2003 -71.382263 47.350143 1372 0.415 -4.72 5.545
"7009800202" "R" "B" 1992 2003 -71.382203 47.346227 1395 0.005 -5.095 5.105
"7009800301" "R" "B" 1992 2003 -71.349892 47.399862 1383 -0.035 -5.14 5.075
"7009800302" "B" "B" 1992 2003 -71.346577 47.396509 1384 -0.03 -5.14 5.075
"7009800401" "B" "B" 1992 2003 -71.248765 47.416297 1389.5 -0.21 -5.29 4.88
"7009800501" "B" "B" 1992 2003 -71.282683 47.415602 1401 -0.44 -5.505 4.625
"7009800502" "B" "B" 1992 2003 -71.288137 47.414256 1398 -0.37 -5.445 4.705
"7009800701" "B" "B" 1992 2003 -71.482829 47.4496 1346 0.215 -4.94 5.365
"7009800702" "B" "B" 1992 2003 -71.48745 47.452016 1362 -0.075 -5.215 5.06
"7009800902" "B" "B" 1992 2003 -71.404403 47.565566 1362.5 -0.605 -5.705 4.485
"7009801101" "B" "B" 1992 2003 -71.383414 47.666476 1344 -0.805 -5.89 4.285
"7009801202" "B" "B" 1992 2003 -71.399139 47.667145 1348.5 -0.88 -5.965 4.2
"7009900101" "B" "B" 1995 2007 -71.299925 47.750275 1386.5 -0.43 -5.62 4.755
"7009900102" "B" "B" 1995 2007 -71.29929 47.746303 1407.5 -0.66 -5.825 4.51
"7009900201" "B" "B" 1995 2007 -71.366447 47.783721 1335 -0.035 -5.265 5.19
"7009900202" "R" "B" 1995 2007 -71.361246 47.782303 1336 -0.035 -5.265 5.19
"7009900301" "B" "B" 1995 2007 -71.733407 47.800404 1237 0.665 -4.685 6.015
"7009900302" "B" "M" 1995 2007 -71.734252 47.7966 1192.5 1.16 -4.205 6.525
"7009900401" "B" "B" 1995 2007 -71.149391 47.933864 1321 -0.31 -5.47 4.84
"7009900402" "R" "B" 1995 2007 -71.151289 47.93684 1316.5 -0.275 -5.43 4.88
"7009900601" "R" "B" 1995 2007 -71.350683 47.999973 1273.5 -0.135 -5.37 5.095
"7009900602" "B" "B" 1995 2007 -71.350977 48.003956 1272.5 -0.14 -5.37 5.09
"7009900701" "R" "R" 1995 2007 -71.716132 48.033339 1066 1.75 -3.64 7.135
"7009900702" "B" "R" 1995 2007 -71.710382 48.034623 1065 1.755 -3.63 7.145
"7009901002" "R" "B" 1995 2007 -71.56925 48.170122 1038.5 1.745 -3.645 7.145
"7009901101" "B" "R" 1995 2007 -71.649789 48.166385 1031 1.79 -3.62 7.195
"7009901201" "B" "B" 1995 2007 -71.58141 48.199771 1032.5 1.725 -3.685 7.135
"7009901202" "B" "B" 1995 2007 -71.577763 48.197134 1033.5 1.725 -3.68 7.135
"7009901301" "M" "M" 1995 2007 -71.731705 48.283381 1009.5 1.67 -3.78 7.115
"7009901302" "M" "M" 1995 2007 -71.731595 48.287178 1009 1.665 -3.78 7.11
"7009901501" "M" "M" 1995 2007 -71.59948 48.333605 991.5 1.865 -3.605 7.335
"7009901502" "M" "M" 1995 2007 -71.600099 48.337268 1010 1.645 -3.815 7.105
"7100300101" "B" "B" 1995 2007 -72.598276 48.550109 906 1.485 -4.24 7.21
"7100300201" "B" "B" 1995 2010 -72.584254 48.599716 935 2.66 -2.83 8.145
"7100300301" "B" "B" 1995 2010 -72.999284 48.767199 1000 1.73 -3.795 7.26
"7100300302" "B" "B" 1995 2010 -72.996145 48.764119 1021.5 1.455 -4.04 6.945
"7100300502" "B" "B" 1992 2010 -73.155337 48.817639 978.5 1.16 -4.42 6.735
"7100300602" "R" "R" 1992 2010 -73.582738 48.879935 1011 0.56 -5.005 6.13
"7100300701" "B" "B" 1992 2010 -73.432666 49.216969 969.5 0.945 -4.685 6.58
"7100400101" "R" "R" 1992 2010 -72.749708 49.416767 960 1.21 -4.415 6.825
"7100400201" "R" "R" 1992 2010 -72.732066 49.601973 989 0.635 -4.91 6.185
"7100400202" "R" "R" 1992 2010 -72.732203 49.605606 989 0.63 -4.92 6.175
"7100400401" "B" "R" 1992 2010 -72.598618 49.652436 1003 0.44 -5.07 5.95
"7100400402" "B" "B" 1992 2010 -72.6043 49.652993 1002 0.455 -5.06 5.965
"7100400501" "B" "R" 1992 2010 -72.886845 49.949638 983.5 0.36 -5.14 5.855
"7100400502" "B" "R" 1992 2010 -72.886673 49.945617 983 0.36 -5.14 5.86
"7100400601" "B" "R" 1992 2010 -72.517341 50.117503 1023 -0.31 -5.705 5.085
"7100400602" "B" "R" 1992 2010 -72.521397 50.114714 1016.5 -0.2 -5.61 5.21
"7100400902" "B" "B" 1992 2010 -72.487406 50.416266 988.5 -0.095 -5.505 5.315
"7100401001" "B" "R" 1992 2010 -72.434443 50.517705 992.5 -0.28 -5.675 5.11
"7100401002" "B" "R" 1992 2010 -72.433905 50.513448 993.5 -0.295 -5.685 5.095
"7100401101" "B" "B" 1992 2010 -72.383499 50.66856 1004 -0.7 -6.05 4.655
"7100600101" "R" "R" 1992 2003 -71.666483 46.865804 1312.5 3.11 -2.045 8.265
"7100600102" "R" "T" 1992 2003 -71.660787 46.864545 1312.5 3.11 -2.045 8.265
"7100600201" "M" "M" 1992 2003 -71.715021 46.883443 1307 3.17 -2.02 8.36
"7100600301" "M" "M" 1992 2003 -71.668515 46.899884 1350.5 2.41 -2.705 7.535
"7100600501" "T" "T" 1992 2003 -71.182257 46.949872 1297.5 3.045 -1.91 8
"7100600602" "T" "T" 1992 2003 -70.900158 46.970646 1234.5 3.75 -1.165 8.66
