"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"1235",7209906801,970,1.9,-3.88,7.68,7,"T","T"
"1236",7209906802,970.5,1.905,-3.875,7.68,7,"T","T"
"1237",7209907002,964.5,1.93,-3.87,7.73,7,"T","M"
"1238",7300800302,1166,2.32,-3.555,8.195,9,"T","C"
"1239",7300800401,1197,1.82,-3.93,7.575,9,"T","T"
"1240",7300800602,988.5,3.24,-2.275,8.755,12,"C","C"
"1241",7300800702,976,3.18,-2.315,8.68,12,"C","C"
"1242",7300800801,980,3.13,-2.36,8.62,12,"T","M"
"1243",7300800802,970,3.29,-2.22,8.795,12,"T","T"
"1244",7300800901,970.5,3.2,-2.3,8.695,12,"T","M"
"1245",7300800902,970.5,3.2,-2.29,8.695,12,"T","T"
"1248",7300801101,972,3.185,-2.31,8.67,12,"C","C"
"1249",7300801102,972,3.18,-2.31,8.67,12,"C","C"
"1250",7300801201,954.5,3.295,-2.205,8.795,12,"C","C"
"1251",7300801202,954.5,3.295,-2.205,8.795,12,"C","C"
"1252",7300801301,965.5,3.265,-2.23,8.77,12,"C","C"
"1253",7300801302,964.5,3.28,-2.22,8.78,12,"C","C"
"1254",7300801501,964.5,3.245,-2.255,8.735,12,"M","M"
"1255",7300801502,962.5,3.275,-2.225,8.77,12,"M","M"
"1256",7300801601,956.5,3.325,-2.175,8.82,12,"M","T"
"1257",7300801602,956.5,3.325,-2.175,8.82,12,"C","C"
"1258",7300801701,944,3.33,-2.17,8.825,12,"C","C"
"1260",7300801802,946.5,3.25,-2.23,8.735,12,"C","C"
"1261",7300801901,944,3.17,-2.295,8.635,12,"C","C"
"1262",7300802001,952.5,3.14,-2.32,8.6,12,"M","M"
"1263",7300802002,951.5,3.165,-2.3,8.63,12,"M","M"
"1264",7300802101,983.5,1.215,-4.44,6.865,18,"T","T"
"1265",7303500101,1155.5,2.275,-3.485,8.04,9,"C","C"
"1266",7303500301,1130,2.31,-3.42,8.045,9,"C","M"
"1267",7303500302,1143.5,2.145,-3.57,7.86,9,"M","M"
"1268",7303500402,1130,2.29,-3.44,8.015,9,"C","C"
