"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"1054",7209408001,1029.5,1.83,-4.165,7.835,10,"C","C"
"1055",7209408102,1074,1.32,-4.74,7.38,10,"M","M"
"1056",7209408502,1027,1.7,-4.265,7.67,10,"M","M"
"1057",7209408601,1025.5,1.72,-4.245,7.69,10,"M","M"
"1058",7209408602,1026,1.71,-4.255,7.675,10,"C","C"
"1059",7209408701,1020.5,1.72,-4.235,7.67,10,"C","C"
"1060",7209408801,1018,1.695,-4.245,7.625,10,"C","C"
"1061",7209409101,1052.5,1.59,-4.46,7.64,10,"T","M"
"1062",7209409102,1052,1.59,-4.46,7.635,10,"T","T"
"1063",7209409301,1059.5,1.365,-4.625,7.365,10,"C","C"
"1064",7209409402,1045,1.535,-4.455,7.53,10,"C","C"
"1065",7209409601,1057.5,1.415,-4.61,7.445,10,"C","C"
"1066",7209409702,1048,1.495,-4.52,7.515,10,"C","C"
"1067",7209410102,1053,1.415,-4.61,7.43,10,"M","C"
"1068",7209410201,1064,1.26,-4.81,7.335,10,"M","M"
"1069",7209410302,1060,1.29,-4.725,7.315,10,"C","M"
"1070",7209410401,1059.5,1.285,-4.725,7.295,10,"M","M"
"1071",7209410602,1052.5,1.31,-4.69,7.3,10,"T","T"
"1072",7209410801,1065.5,1.22,-4.845,7.29,10,"D","D"
"1073",7209410901,1052.5,1.355,-4.685,7.39,10,"M","M"
"1074",7209410902,1052.5,1.355,-4.685,7.4,10,"C","C"
"1075",7209411002,1011.5,1.65,-4.31,7.605,10,"C","C"
"1076",7209411201,1023,1.605,-4.395,7.605,10,"T","T"
"1077",7209411202,1023.5,1.61,-4.39,7.605,10,"C","C"
"1078",7209411602,1006,1.575,-4.365,7.525,10,"C","C"
"1079",7209411701,1004.5,1.615,-4.335,7.555,10,"M","M"
"1080",7209411702,1005.5,1.59,-4.355,7.535,10,"C","C"
"1081",7209411901,1063.5,0.88,-5.065,6.83,10,"T","T"
"1082",7209412001,1078,0.66,-5.255,6.58,10,"C","M"
"1083",7209412002,1078,0.66,-5.255,6.58,10,"T","T"
"1084",7209412101,1054,1.01,-4.95,6.965,10,"T","M"
"1085",7209412302,1070,0.73,-5.2,6.665,10,"T","M"
"1086",7209412402,1049,1.12,-4.875,7.125,10,"T","T"
"1087",7209412502,1020,1.275,-4.68,7.225,10,"C","C"
"1088",7209412601,1052.5,0.95,-5.04,6.935,10,"T","M"
"1089",7209500201,977,3.235,-2.58,9.05,9,"T","M"
"1090",7209500202,978.5,3.225,-2.59,9.035,9,"C","C"
"1091",7209500301,995,2.965,-2.85,8.78,9,"M","M"
"1092",7209500302,994.5,2.965,-2.85,8.785,9,"C","C"
"1093",7209500402,1002,2.755,-3.065,8.58,9,"C","C"
"1094",7209500501,980,2.985,-2.82,8.79,9,"M","C"
"1095",7209500502,979,2.995,-2.81,8.805,9,"M","M"
"1096",7209500701,1000.5,2.625,-3.155,8.41,9,"T","T"
"1097",7209500702,985,2.855,-2.945,8.66,9,"T","T"
"1098",7209500901,1034,2.495,-3.33,8.32,10,"M","M"
"1099",7209501002,1016.5,2.455,-3.345,8.255,9,"T","T"
"1100",7209501101,1037,2.41,-3.43,8.245,10,"M","M"
"1101",7209501102,1031.5,2.485,-3.365,8.325,10,"M","M"
"1102",7209501202,1036.5,2.4,-3.43,8.235,10,"T","M"
"1103",7209501402,1046.5,2.295,-3.55,8.13,10,"M","M"
"1104",7209501502,1004,2.48,-3.315,8.27,9,"C","C"
"1105",7209501901,1033.5,2.34,-3.51,8.19,10,"C","C"
"1106",7209501902,1033.5,2.34,-3.51,8.19,10,"C","C"
"1107",7209502102,1036,2.02,-3.815,7.86,10,"M","C"
"1108",7209600101,986.5,3.13,-2.585,8.85,9,"M","M"
"1109",7209600102,970.5,3.38,-2.355,9.11,9,"M","M"
"1110",7209600302,984.5,3.12,-2.575,8.815,9,"D","D"
"1111",7209600501,971.5,3.3,-2.425,9.03,9,"M","C"
"1112",7209600602,972,3.295,-2.445,9.04,9,"C","C"
"1113",7209601001,981.5,3.11,-2.665,8.89,9,"M","M"
"1114",7209601002,981.5,3.11,-2.665,8.885,9,"M","M"
"1115",7209601101,976.5,3.105,-2.63,8.835,9,"D","D"
"1116",7209601102,982.5,3.015,-2.715,8.74,9,"M","M"
"1117",7209601202,984,2.99,-2.75,8.73,9,"T","M"
"1118",7209601301,984.5,3.01,-2.77,8.79,9,"T","T"
"1119",7209601401,1002,2.755,-3.025,8.535,9,"M","M"
"1120",7209601501,985.5,2.98,-2.81,8.775,9,"M","M"
"1121",7209601502,988.5,2.94,-2.845,8.725,9,"D","D"
"1122",7209601702,1004,2.65,-3.11,8.405,9,"M","M"
"1123",7209601801,983.5,2.925,-2.84,8.685,9,"T","T"
"1124",7209601802,983.5,2.92,-2.84,8.685,9,"T","T"
"1125",7209601902,986,2.845,-2.885,8.57,9,"D","M"
"1126",7209602001,1012,2.65,-3.155,8.45,9,"M","M"
"1127",7209602002,1012.5,2.64,-3.165,8.44,9,"C","C"
"1128",7209602101,985.5,2.965,-2.84,8.765,9,"C","C"
"1129",7209602102,982,3.015,-2.79,8.82,9,"M","M"
"1130",7209602201,976.5,3.075,-2.73,8.88,9,"T","M"
"1131",7209602401,977,2.94,-2.815,8.695,9,"T","T"
"1132",7209602402,977,2.935,-2.825,8.69,9,"T","T"
"1133",7209602601,1014.5,2.28,-3.47,8.02,9,"C","C"
"1134",7209602602,1014.5,2.27,-3.475,8.015,9,"D","D"
"1135",7209602702,998.5,2.48,-3.28,8.24,9,"T","T"
"1136",7209602802,1008.5,2.23,-3.475,7.935,9,"M","M"
"1137",7209602901,1017,2.38,-3.43,8.19,10,"M","M"
"1138",7209602902,1017,2.375,-3.44,8.185,10,"M","M"
"1139",7209603001,1008.5,2.195,-3.52,7.9,9,"D","D"
"1140",7209603002,1013.5,2.115,-3.59,7.815,9,"M","M"
"1141",7209603102,1015,2.265,-3.52,8.055,10,"T","T"
"1142",7209603201,1007.5,2.16,-3.535,7.85,9,"T","T"
"1143",7209603202,1007.5,2.15,-3.54,7.85,9,"M","M"
"1144",7209603301,1012,2.315,-3.49,8.12,10,"M","M"
"1145",7209603302,1020.5,2.185,-3.61,7.975,10,"C","C"
"1146",7209603501,1015.5,2.27,-3.55,8.095,10,"C","C"
"1147",7209603502,1018.5,2.22,-3.595,8.04,10,"T","T"
"1148",7209603602,1011.5,2.26,-3.545,8.075,10,"T","T"
"1149",7209603801,999.5,2.25,-3.53,8.03,9,"M","C"
"1150",7209604102,1012,2.12,-3.72,7.95,10,"M","M"
"1151",7209604202,1000,2.095,-3.71,7.895,10,"D","D"
"1152",7209604501,1037.5,1.84,-4.025,7.71,10,"M","M"
"1153",7209604602,1012.5,2.04,-3.82,7.9,10,"M","M"
"1154",7209604702,1008,1.985,-3.845,7.81,10,"M","M"
"1155",7209604901,999,2.01,-3.805,7.82,10,"M","M"
"1156",7209604902,999.5,2.01,-3.805,7.825,10,"T","T"
"1157",7209605001,1018.5,1.985,-3.9,7.87,10,"T","M"
"1158",7209605002,1018.5,1.975,-3.905,7.865,10,"T","M"
"1159",7209605302,1009,1.7,-4.1,7.5,10,"C","C"
"1160",7209605402,998,1.935,-3.91,7.775,10,"T","T"
"1161",7209605602,1008,1.87,-4.015,7.755,10,"D","M"
"1162",7209605701,1001.5,1.885,-3.985,7.755,10,"M","M"
"1163",7209605702,1001.5,1.885,-3.985,7.75,10,"T","M"
"1164",7209605802,995,1.875,-3.975,7.73,10,"M","M"
"1165",7209606002,994,1.865,-3.99,7.72,10,"C","C"
"1166",7209606102,992,1.845,-4,7.69,10,"M","M"
"1167",7209606202,884.5,2.63,-3.335,8.6,9,"C","C"
"1168",7209700401,969.5,2.855,-2.845,8.555,6,"M","M"
"1169",7209700402,959.5,3.02,-2.69,8.725,6,"T","T"
"1170",7209700801,973.5,2.675,-3.055,8.4,6,"T","T"
"1171",7209700802,972,2.7,-3.03,8.425,6,"T","T"
"1172",7209700901,978.5,2.625,-3.085,8.335,6,"M","M"
"1173",7209700902,986.5,2.505,-3.195,8.21,6,"C","C"
"1174",7209701301,983.5,2.37,-3.41,8.15,6,"M","M"
"1175",7209701401,978,2.45,-3.335,8.23,6,"M","M"
"1176",7209701501,979.5,2.395,-3.405,8.19,6,"M","M"
"1177",7209701502,976.5,2.445,-3.355,8.245,6,"C","C"
"1178",7209800101,976,2.675,-3.025,8.385,6,"D","D"
"1179",7209800202,976.5,2.68,-3.015,8.375,6,"C","C"
"1180",7209800301,975,2.66,-3.05,8.37,6,"C","C"
"1181",7209900101,967.5,3.4,-2.3,9.105,9,"M","M"
"1182",7209900201,966.5,3.335,-2.35,9.02,9,"T","T"
"1183",7209900202,951,3.575,-2.13,9.28,9,"T","T"
"1184",7209900301,981,3.08,-2.59,8.755,9,"M","M"
"1185",7209900402,991,2.86,-2.83,8.55,9,"C","C"
"1186",7209900602,956,3.385,-2.315,9.085,9,"C","C"
"1187",7209900702,989.5,2.84,-2.84,8.52,9,"C","M"
"1188",7209900902,972,3.05,-2.645,8.745,9,"T","T"
"1189",7209901101,1001,2.565,-3.135,8.27,9,"C","C"
"1190",7209901302,964,2.755,-2.99,8.5,6,"C","C"
"1191",7209901402,992.5,2.625,-3.085,8.33,9,"C","C"
"1192",7209901501,970.5,2.6,-3.165,8.36,6,"M","M"
"1193",7209902002,987.5,2.535,-3.175,8.245,9,"T","M"
"1194",7209902101,987,2.545,-3.155,8.235,9,"M","D"
"1195",7209902102,987,2.545,-3.145,8.235,9,"M","M"
"1196",7209902201,962.5,2.555,-3.29,8.4,6,"M","M"
"1197",7209902302,990.5,2.505,-3.14,8.145,7,"T","T"
"1198",7209902402,989.5,2.49,-3.165,8.14,7,"T","T"
"1199",7209902801,986.5,2.115,-3.74,7.96,6,"D","D"
"1200",7209902802,992,2.025,-3.82,7.87,6,"D","D"
"1201",7209903102,967,2.49,-3.265,8.24,10,"T","T"
"1202",7209903301,985,2.19,-3.56,7.94,10,"M","M"
"1203",7209903501,998,1.96,-3.78,7.705,10,"M","C"
"1204",7209903701,983,2.26,-3.46,7.975,7,"T","C"
"1205",7209903702,973.5,2.405,-3.33,8.14,7,"C","C"
"1206",7209903802,995,2.05,-3.74,7.845,10,"T","T"
"1207",7209903901,981,2.24,-3.49,7.97,7,"T","M"
"1208",7209903902,980.5,2.245,-3.485,7.98,7,"C","C"
"1209",7209904001,984,2.08,-3.695,7.85,10,"M","M"
"1210",7209904002,984.5,2.08,-3.695,7.85,10,"T","T"
"1211",7209904101,981.5,2.105,-3.66,7.87,10,"C","C"
"1212",7209904102,982,2.1,-3.665,7.865,10,"C","C"
"1213",7209904501,973.5,2.255,-3.495,8,7,"C","C"
"1214",7209904602,1002,1.84,-3.96,7.645,10,"M","M"
"1215",7209904901,979.5,1.995,-3.78,7.775,10,"T","T"
"1216",7209904902,979.5,1.99,-3.785,7.765,10,"T","M"
"1217",7209905001,967.5,2.245,-3.515,8.005,7,"C","C"
"1218",7209905102,988.5,1.92,-3.895,7.74,10,"C","C"
"1219",7209905201,983.5,1.94,-3.85,7.735,10,"C","C"
"1220",7209905401,980,1.96,-3.82,7.74,10,"T","M"
"1221",7209905402,980,1.955,-3.83,7.735,10,"T","C"
"1222",7209905501,979.5,2.055,-3.71,7.815,7,"T","M"
"1223",7209905601,986,1.93,-3.885,7.75,10,"C","C"
"1224",7209905702,976.5,2.05,-3.71,7.805,7,"T","T"
"1225",7209905801,988.5,1.895,-3.935,7.72,10,"C","C"
"1226",7209905802,988,1.89,-3.935,7.72,10,"C","C"
"1227",7209905902,976,2.005,-3.745,7.765,7,"C","C"
"1228",7209906002,976,2.01,-3.74,7.765,7,"C","C"
"1229",7209906301,870.5,2.62,-3.325,8.56,9,"M","C"
"1230",7209906401,981.5,1.83,-3.995,7.66,10,"T","M"
"1231",7209906501,987.5,1.71,-4.1,7.515,10,"M","T"
"1232",7209906502,987.5,1.71,-4.1,7.515,10,"M","M"
"1233",7209906602,880,2.595,-3.38,8.56,9,"C","C"
"1234",7209906702,872,2.565,-3.4,8.53,9,"C","C"
