"" "" "state_quad"
"325" "120" "280" "T"
"326" "140" "280" "T"
"327" "140" "300" "T"
"328" "120" "300" "D"
"329" "120" "320" "T"
"330" "140" "320" "T"
"331" "140" "340" "M"
"332" "120" "340" "T"
"333" "120" "360" "T"
"334" "140" "360" "M"
"335" "140" "380" "T"
"336" "120" "380" "T"
"337" "120" "400" "T"
"338" "140" "400" "T"
"339" "140" "420" "D"
"340" "120" "420" "T"
"341" "120" "440" "T"
"342" "140" "440" "T"
"343" "140" "460" "T"
"344" "120" "460" "M"
"345" "120" "480" "M"
"346" "140" "480" "T"
"347" "140" "500" "M"
"348" "120" "500" "M"
"349" "120" "520" "M"
"350" "160" "0" "D"
"351" "180" "0" "D"
"352" "180" "20" "D"
"353" "160" "20" "D"
"354" "160" "40" "M"
"355" "140" "520" "D"
"356" "140" "540" "D"
"357" "180" "40" "M"
"358" "180" "60" "T"
"359" "160" "60" "M"
"360" "160" "80" "M"
"361" "180" "80" "M"
"362" "120" "540" "D"
"363" "120" "560" "D"
"364" "140" "560" "M"
"365" "140" "580" "T"
"366" "120" "580" "M"
"367" "120" "600" "D"
"368" "140" "600" "M"
"369" "140" "620" "M"
"370" "120" "620" "M"
"371" "120" "640" "T"
"372" "140" "640" "T"
"373" "140" "660" "T"
"374" "120" "660" "T"
"375" "120" "680" "T"
"376" "140" "680" "T"
"377" "140" "700" "D"
"378" "120" "700" "T"
"379" "120" "720" "T"
"380" "140" "720" "T"
"381" "140" "740" "T"
"382" "140" "760" "T"
"383" "140" "780" "T"
"384" "120" "780" "T"
"385" "120" "800" "T"
"386" "140" "800" "T"
"387" "140" "820" "T"
"388" "120" "740" "D"
"389" "120" "760" "T"
"390" "120" "820" "T"
"391" "120" "840" "T"
"392" "140" "840" "T"
"393" "140" "860" "T"
"394" "120" "860" "M"
"395" "120" "880" "M"
"396" "140" "880" "M"
"397" "140" "900" "M"
"398" "120" "900" "M"
"399" "120" "920" "D"
"400" "140" "920" "D"
"401" "140" "940" "D"
"402" "120" "940" "D"
"403" "120" "960" "D"
"404" "140" "960" "T"
"405" "140" "980" "D"
"406" "120" "980" "M"
"407" "180" "100" "M"
"408" "160" "100" "M"
"409" "160" "120" "M"
"410" "180" "120" "D"
"411" "180" "140" "D"
"412" "160" "140" "M"
"413" "160" "160" "D"
"414" "180" "160" "D"
"415" "180" "180" "M"
"416" "160" "180" "D"
"417" "160" "200" "D"
"418" "180" "200" "D"
"419" "180" "220" "D"
"420" "160" "220" "M"
"421" "160" "240" "T"
"422" "180" "240" "T"
"423" "180" "260" "T"
"424" "160" "260" "T"
"425" "160" "280" "M"
"426" "180" "280" "M"
"427" "180" "300" "D"
"428" "160" "300" "T"
"429" "160" "320" "T"
"430" "180" "320" "T"
"431" "180" "340" "T"
"432" "160" "340" "T"
"433" "160" "360" "T"
"434" "180" "360" "T"
"435" "180" "380" "T"
"436" "160" "380" "T"
"437" "160" "400" "T"
"438" "180" "400" "D"
"439" "180" "420" "T"
"440" "160" "420" "T"
"441" "160" "440" "T"
"442" "180" "440" "T"
"443" "180" "460" "T"
"444" "160" "460" "M"
"445" "160" "480" "M"
"446" "180" "480" "M"
"447" "180" "500" "M"
"448" "160" "500" "M"
"449" "160" "520" "D"
"450" "180" "520" "D"
"451" "180" "540" "M"
"452" "160" "540" "M"
"453" "160" "560" "M"
"454" "180" "560" "M"
"455" "180" "580" "D"
"456" "160" "580" "M"
"457" "160" "600" "M"
"458" "180" "600" "T"
"459" "180" "620" "M"
"460" "160" "620" "M"
"461" "160" "640" "M"
"462" "180" "640" "M"
"463" "180" "660" "M"
"464" "160" "660" "D"
"465" "160" "680" "D"
"466" "180" "680" "D"
"467" "180" "700" "M"
"468" "160" "700" "T"
"469" "160" "720" "M"
"470" "180" "720" "T"
"471" "180" "740" "M"
"472" "160" "740" "M"
"473" "160" "760" "T"
"474" "180" "760" "T"
"475" "180" "780" "T"
"476" "160" "780" "M"
"477" "160" "800" "D"
"478" "180" "800" "T"
"479" "180" "820" "T"
"480" "160" "820" "T"
"481" "160" "840" "T"
"482" "180" "840" "T"
"483" "180" "860" "T"
"484" "160" "860" "T"
"485" "160" "880" "T"
"486" "180" "880" "T"
"487" "180" "900" "T"
"488" "160" "900" "M"
"489" "160" "920" "T"
"490" "180" "920" "T"
"491" "180" "940" "T"
"492" "160" "940" "M"
"493" "160" "960" "M"
"494" "180" "960" "M"
"495" "180" "980" "M"
"496" "160" "980" "M"
"497" "0" "0" "M"
"498" "60" "0" "M"
"499" "40" "740" "M"
"500" "100" "740" "M"
